r,C_r
2.0,0.00017644839021550425
2.4194551849188386,0.0002656367926980134
2.926881695915326,0.0003927572692399655
3.540729547413189,0.0005688698761864169
4.283318230942088,0.0008055929225619328
5.181648251255109,0.0011160125996694146
6.2683828639624055,0.0015174576112606947
7.5830357106351185,0.0020170324243967857
9.173407533760427,0.0026267327144386806
11.097324210465096,0.0033554011206636657
13.424739299867571,0.004175389061574127
16.240277552624143,0.005048986932521078
19.646311864608762,0.005940817938935266
23.766685552680077,0.0069045439896874
28.75121529438374,0.008113220296695185
34.78113845835728,0.00970479868597507
42.07570289022627,0.011985691266516274
50.90013875843124,0.01524529643529155
61.575302316087416,0.01974545133221752
74.48934222580137,0.026010976890210306
90.11181263470442,0.0358372230827607
109.01074615073523,0.048295725260673855
131.8733074931338,0.06501032299647584
159.5307787833296,0.08729597891738484
192.98878494073347,0.11815517137421643
233.4638581780221,0.16046686453276227
282.4276710799859,0.2127443410643186
341.66054657951236,0.2781504808042165
413.3161904520027,0.3461300822305157
499.99999999999994,0.428310487249592
