x,y,z,r,g,b
-3.54832,-3.17494,-0.654275,1.0,0.872367,0.0
-1.3852,-1.70498,-0.060625,1.0,0.0808333,0.0
1.95866,-2.60145,-0.750595,0.999207,1.0,0.0
-2.20714,-0.967155,-0.029285,1.0,0.0390467,0.0
-1.674,-1.60363,-0.04268,1.0,0.0569067,0.0
1.88762,2.86865,-0.21309,1.0,0.28412,0.0
-1.56308,-2.22077,-0.082055,1.0,0.109407,0.0
-1.21991,0.14493,-1.9003,0.0,1.0,0.53374
2.58756,3.56872,-0.693425,1.0,0.924567,0.0
-2.13585,-0.82809,-0.049175,1.0,0.0655667,0.0
2.78048,1.65634,-0.180465,1.0,0.24062,0.0
-3.68035,-3.40317,-0.52239,1.0,0.69652,0.0
-2.71972,-2.1349,-0.191705,1.0,0.255607,0.0
-2.59794,-1.80043,-0.257375,1.0,0.343167,0.0
1.25984,-2.10214,-0.802775,0.929633,1.0,0.0
1.49916,4.19596,-1.24483,0.340233,1.0,0.0
-2.60037,-1.80018,-0.231905,1.0,0.309207,0.0
1.80077,0.143532,-0.05659,1.0,0.0754533,0.0
-2.60278,-2.22342,-0.15607,1.0,0.208093,0.0
-3.71555,-2.20472,-0.08277,1.0,0.11036,0.0
0.725353,-0.17943,-0.014015,1.0,0.0186867,0.0
-2.09496,-0.914844,-0.069625,1.0,0.0928333,0.0
-2.12335,-0.836959,-0.051625,1.0,0.0688333,0.0
-3.19599,-2.19671,-0.027145,1.0,0.0361933,0.0
1.7574,2.53047,-0.032315,1.0,0.0430867,0.0
-2.59958,-1.62431,-0.2428,1.0,0.323733,0.0
1.54635,0.783855,-0.250705,1.0,0.334273,0.0
-2.43199,-1.0874,-0.060325,1.0,0.0804333,0.0
0.655425,-0.324429,-0.05935,1.0,0.0791333,0.0
2.41168,2.61786,-0.04368,1.0,0.05824,0.0
1.60622,3.79839,-1.06937,0.574173,1.0,0.0
-1.28405,-1.49106,-0.04218,1.0,0.05624,0.0
-1.29117,-1.5306,-0.033755,1.0,0.0450067,0.0
-2.12292,-0.849277,-0.05548,1.0,0.0739733,0.0
1.26978,1.54903,-0.168935,1.0,0.225247,0.0
-1.58285,-0.81741,-0.045125,1.0,0.0601667,0.0
-1.58308,-0.818217,-0.046645,1.0,0.0621933,0.0
