r_km,C_r
2.0,0.0001764483902155
2.4194551849188386,0.000265636792698
2.926881695915326,0.0003927572692399
3.540729547413189,0.0005688698761864
4.283318230942088,0.0008055929225619
5.181648251255109,0.0011160125996694
6.2683828639624055,0.0015174576112606
7.5830357106351185,0.0020170324243967
9.173407533760429,0.0026267327144386
11.097324210465096,0.0033554011206636
13.424739299867571,0.0041753890615741
16.240277552624143,0.005048986932521
19.64631186460876,0.0059408179389352
23.76668555268008,0.0069045439896874
28.75121529438374,0.0081132202966951
34.78113845835728,0.009704798685975
42.07570289022627,0.0119856912665162
50.90013875843124,0.0152452964352915
61.575302316087416,0.0197454513322175
74.48934222580137,0.0260109768902103
90.11181263470442,0.0358372230827607
109.01074615073524,0.0482957252606738
131.8733074931338,0.0650103229964758
159.5307787833296,0.0872959789173848
192.98878494073347,0.1181551713742164
233.4638581780221,0.1604668645327622
282.4276710799859,0.2127443410643186
341.6605465795124,0.2781504808042165
413.3161904520027,0.3461300822305157
500.0,0.428310487249592
