D3,density_prior1,density_prior2,density_prior3,density_prior4,posterior
1.5,2.169661295464672e-218,2.169661295464672e-218,2.169661295464672e-218,2.169661295464672e-218,2.169661295464672e-218
1.5032064128256513,8.668691459940446e-220,8.668691459940446e-220,8.668691459940446e-220,8.668691459940446e-220,8.668691459940446e-220
1.5064128256513025,3.4281487247942125e-221,3.4281487247942125e-221,3.4281487247942125e-221,3.4281487247942125e-221,3.4281487247942125e-221
1.509619238476954,1.3418694617799317e-222,1.3418694617799317e-222,1.3418694617799317e-222,1.3418694617799317e-222,1.3418694617799317e-222
1.5128256513026053,5.198827279785527e-224,5.198827279785527e-224,5.198827279785527e-224,5.198827279785527e-224,5.198827279785527e-224
1.5160320641282565,1.9936320839485223e-225,1.9936320839485223e-225,1.9936320839485223e-225,1.9936320839485223e-225,1.9936320839485223e-225
1.5192384769539078,7.567094273701153e-227,7.567094273701153e-227,7.567094273701153e-227,7.567094273701153e-227,7.567094273701153e-227
1.522444889779559,2.842875104093296e-228,2.842875104093296e-228,2.842875104093296e-228,2.842875104093296e-228,2.842875104093296e-228
1.5256513026052103,1.057136142543833e-229,1.057136142543833e-229,1.057136142543833e-229,1.057136142543833e-229,1.057136142543833e-229
1.5288577154308618,3.8908865462562786e-231,3.8908865462562786e-231,3.8908865462562786e-231,3.8908865462562786e-231,3.8908865462562786e-231
1.532064128256513,1.4174596958995521e-232,1.4174596958995521e-232,1.4174596958995521e-232,1.4174596958995521e-232,1.4174596958995521e-232
1.5352705410821643,5.11113527919397e-234,5.11113527919397e-234,5.11113527919397e-234,5.11113527919397e-234,5.11113527919397e-234
1.5384769539078156,1.8241835620441692e-235,1.8241835620441692e-235,1.8241835620441692e-235,1.8241835620441692e-235,1.8241835620441692e-235
1.5416833667334668,6.444128698559162e-237,6.444128698559162e-237,6.444128698559162e-237,6.444128698559162e-237,6.444128698559162e-237
1.5448897795591183,2.2532240496743554e-238,2.2532240496743554e-238,2.2532240496743554e-238,2.2532240496743554e-238,2.2532240496743554e-238
1.5480961923847696,7.798104594203531e-240,7.798104594203531e-240,7.798104594203531e-240,7.798104594203531e-240,7.798104594203531e-240
1.5513026052104208,2.6712727830585272e-241,2.6712727830585272e-241,2.6712727830585272e-241,2.6712727830585272e-241,2.6712727830585272e-241
1.554509018036072,9.057157662727133e-243,9.057157662727133e-243,9.057157662727133e-243,9.057157662727133e-243,9.057157662727133e-243
1.5577154308617234,3.0395558076725874e-244,3.0395558076725874e-244,3.0395558076725874e-244,3.0395558076725874e-244,3.0395558076725874e-244
1.5609218436873749,1.0096545825801764e-245,1.0096545825801764e-245,1.0096545825801764e-245,1.0096545825801764e-245,1.0096545825801764e-245
1.5641282565130261,3.319556196607146e-247,3.319556196607146e-247,3.319556196607146e-247,3.319556196607146e-247,3.319556196607146e-247
1.5673346693386774,1.0802685557258403e-248,1.0802685557258403e-248,1.0802685557258403e-248,1.0802685557258403e-248,1.0802685557258403e-248
1.5705410821643286,3.479589005296289e-250,3.479589005296289e-250,3.479589005296289e-250,3.479589005296289e-250,3.479589005296289e-250
1.57374749498998,1.109350210691e-251,1.109350210691e-251,1.109350210691e-251,1.109350210691e-251,1.109350210691e-251
1.5769539078156312,3.500691949049779e-253,3.500691949049779e-253,3.500691949049779e-253,3.500691949049779e-253,3.500691949049779e-253
1.5801603206412826,1.0934114731625964e-254,1.0934114731625964e-254,1.0934114731625964e-254,1.0934114731625964e-254,1.0934114731625964e-254
1.583366733466934,3.3803203721651387e-256,3.3803203721651387e-256,3.3803203721651387e-256,3.3803203721651387e-256,3.3803203721651387e-256
1.5865731462925852,1.0343716388280557e-257,1.0343716388280557e-257,1.0343716388280557e-257,1.0343716388280557e-257,1.0343716388280557e-257
1.5897795591182364,3.1328517996540795e-259,3.1328517996540795e-259,3.1328517996540795e-259,3.1328517996540795e-259,3.1328517996540795e-259
1.5929859719438877,9.39177334350244e-261,9.39177334350244e-261,9.39177334350244e-261,9.39177334350244e-261,9.39177334350244e-261
1.5961923847695392,2.786761874096368e-262,2.786761874096368e-262,2.786761874096368e-262,2.786761874096368e-262,2.786761874096368e-262
1.5993987975951904,8.184584237000355e-264,8.184584237000355e-264,8.184584237000355e-264,8.184584237000355e-264,8.184584237000355e-264
1.6026052104208417,2.3792380175559814e-265,2.3792380175559814e-265,2.3792380175559814e-265,2.3792380175559814e-265,2.3792380175559814e-265
1.605811623246493,6.845791438647923e-267,6.845791438647923e-267,6.845791438647923e-267,6.845791438647923e-267,6.845791438647923e-267
1.6090180360721442,1.9496378267523476e-268,1.9496378267523476e-268,1.9496378267523476e-268,1.9496378267523476e-268,1.9496378267523476e-268
1.6122244488977957,5.495772241350933e-270,5.495772241350933e-270,5.495772241350933e-270,5.495772241350933e-270,5.495772241350933e-270
1.615430861723447,1.5333737180907418e-271,1.5333737180907418e-271,1.5333737180907418e-271,1.5333737180907418e-271,1.5333737180907418e-271
1.6186372745490982,4.234594309219675e-273,4.234594309219675e-273,4.234594309219675e-273,4.234594309219675e-273,4.234594309219675e-273
1.6218436873747495,1.1574976265289139e-274,1.1574976265289139e-274,1.1574976265289139e-274,1.1574976265289139e-274,1.1574976265289139e-274
1.6250501002004007,3.1316478054880117e-276,3.1316478054880117e-276,3.1316478054880117e-276,3.1316478054880117e-276,3.1316478054880117e-276
1.628256513026052,8.386296718596929e-278,8.386296718596929e-278,8.386296718596929e-278,8.386296718596929e-278,8.386296718596929e-278
1.6314629258517035,2.222859636079795e-279,2.222859636079795e-279,2.222859636079795e-279,2.222859636079795e-279,2.222859636079795e-279
1.6346693386773548,5.831742782373281e-281,5.831742782373281e-281,5.831742782373281e-281,5.831742782373281e-281,5.831742782373281e-281
1.637875751503006,1.5143601982596772e-282,1.5143601982596772e-282,1.5143601982596772e-282,1.5143601982596772e-282,1.5143601982596772e-282
