D3,density
1.6434579259308586,0.003398388560103455
1.6492051351315058,0.002718710848082659
1.6549523443321528,0.00679677712020691
1.6606995535327997,0.003398388560103455
1.6664467627334467,0.0054374216961655284
1.6721939719340937,0.006796777120206648
1.6779411811347409,0.007476454832227601
1.6836883903353879,0.01971065364860004
1.689435599536035,0.01291387652839263
1.695182808736682,0.023788719920724184
1.700930017937329,0.03670259644911732
1.706677227137976,0.06185067179388288
1.712424436338623,0.058452283233777165
1.7181716455392702,0.08020197001844154
1.7239188547399171,0.10738907849926918
1.729666063940564,0.13933393096424165
1.7354132731412113,0.15836490690081487
1.7411604823418583,0.24672300946351083
1.7469076915425052,0.2868239944727316
1.7526549007431522,0.31672981380162973
1.7584021099437994,0.3833382295796697
1.7641493191444464,0.5165550611357251
1.7698965283450934,0.6157880070907461
1.7756437375457406,0.7789106579756818
1.7813909467463875,0.840081652057574
1.7871381559470345,1.0133994686228502
1.7928853651476815,1.2662395774944986
1.7986325743483287,1.4314012615155753
1.8043797835489757,1.687639758947376
1.8101269927496226,1.8426062772880931
1.8158742019502698,2.1654531904978382
1.8216214111509168,2.4067387782652667
1.8273686203515638,2.7703663541963364
1.8331158295522108,3.170696526576401
1.838863038752858,3.2672107616834616
1.844610247953505,3.5642299218365037
1.850357457154152,3.979513003881146
1.856104666354799,4.2962428176826215
1.861851875555446,4.562676480794899
1.867599084756093,4.823672722210844
1.87334629395674,5.202253207806168
1.8790935031573872,5.470046226342522
1.8848407123580342,5.581513371113914
1.8905879215586812,5.831634769137529
1.8963351307593284,5.700456970717315
1.9020823399599753,5.95057836874115
1.9078295491606223,5.954656435013274
1.9135767583612693,6.031460016471379
1.9193239675619165,5.979124832646019
1.9250711767625635,5.856103166770274
1.9308183859632104,5.731042467758467
1.9365655951638574,5.617536289851011
1.9423128043645046,5.4911162354149505
1.9480600135651516,4.956889553766899
1.9538072227657985,4.844063053571278
1.9595544319664457,4.4790761222163535
1.9653016411670927,4.332945414131904
1.9710488503677397,4.095737892636684
1.9767960595683867,3.8918345790304767
1.9825432687690339,3.433731801128398
1.9882904779696808,3.031362595612282
1.9940376871703278,2.7037579384182044
1.999784896370975,2.406059100553246
2.005532105571622,2.2123509526273493
2.0112793147722687,1.9717450425720247
2.017026523972916,1.7053113794599137
2.0227737331735627,1.3872222102342302
2.02852094237421,1.2247792370611905
2.0342681515748575,1.0725314295686503
2.040015360775504,0.87542489308265
2.0457625699761515,0.7354112844063877
2.051509779176798,0.6198660733628703
2.0572569883774454,0.5457812027526149
2.063004197578092,0.47101665443033885
2.0687514067787394,0.3561511210988145
2.074498615979387,0.2922614161688971
2.0802458251800333,0.20730170216631075
2.0859930343806807,0.15224780749263478
2.0917402435813273,0.12166231045170368
2.0974874527819747,0.1128265001954347
2.103234661982621,0.09039713569875191
2.1089818711832686,0.06524906035398129
2.114729080383916,0.07748325917035878
2.1204762895845626,0.03602291873709663
2.12622349878521,0.031265174752951784
2.1319707079858565,0.019030975936579347
2.137717917186504,0.017671620512537966
2.1434651263871505,0.01971065364860004
2.149212335587798,0.011554521104350854
2.1549595447884453,0.009515487968289674
2.160706753989092,0.003398388560103455
2.1664539631897393,0.006117099408186218
2.172201172390386,0.0
2.177948381591033,0.004078066272124146
2.1836955907916797,0.0
2.189442799992327,0.0
2.1951900091929746,0.0
2.200937218393621,0.0
2.2066844275942685,0.0
2.212431636794915,0.0013593554240413821
