timestamp,event,magnitude,regime,lat,lon,radius_km,start_date,end_date,n_events,d2,d2_sem,d3_est,b_value,b_unc,mc
2025-12-12 22:42:14,Tohoku_M9.1,9.1,Subduction,38.322,142.369,96,2010-01-01,2012-06-30,920,2.2497291682799854,0.0025034222598446583,2.9996388910399805,0.953617387183887,0.05306069079415,4.749999999999997
2025-12-12 22:42:14,Tohoku_M9.1,9.1,Subduction,38.322,142.369,128,2010-01-01,2012-06-30,1484,2.316696797103881,0.005517765337761948,3.0889290628051747,0.9843823135211115,0.036969253782149734,4.649999999999998
2025-12-12 22:42:14,Tohoku_M9.1,9.1,Subduction,38.322,142.369,192,2010-01-01,2012-06-30,3036,2.5853544522410177,0.0013868500859748772,3.44713926965469,1.0696320786666722,0.029165758602844444,4.649999999999998
2025-12-12 22:42:14,Tohoku_M9.1,9.1,Subduction,38.322,142.369,312,2010-01-01,2012-06-30,4996,2.5658560093092775,0.00119832822587687,3.421141345745703,1.0801605286365827,0.023398961256955127,4.649999999999998
2025-12-12 22:42:14,Tohoku_M9.1,9.1,Subduction,38.322,142.369,400,2010-01-01,2012-06-30,5529,2.492160296516727,0.0009649507263872298,3.322880395355636,1.07988966833719,0.022252762378024586,4.649999999999998
2025-12-12 22:42:14,Tokachi_M8.3,8.3,Subduction,41.815,143.91,96,2002-06-01,2004-12-31,254,1.7916071349582652,0.003275487432949816,2.3888095132776868,0.8643881987285753,0.08356356124113681,4.750000000000001
2025-12-12 22:42:14,Tokachi_M8.3,8.3,Subduction,41.815,143.91,128,2002-06-01,2004-12-31,339,1.797989673884635,0.0037578221857812906,2.3973195651795134,0.8394549394377832,0.07198266720223512,4.750000000000001
2025-12-12 22:42:14,Tokachi_M8.3,8.3,Subduction,41.815,143.91,192,2002-06-01,2004-12-31,468,1.7878565989162063,0.00396812122216499,2.383808798554942,0.6666801257286781,0.0336724312703606,4.150000000000001
2025-12-12 22:42:14,Tokachi_M8.3,8.3,Subduction,41.815,143.91,312,2002-06-01,2004-12-31,618,1.8231200900630045,0.003884136440788239,2.4308267867506728,0.7721341330662503,0.03992610552335341,4.3500000000000005
2025-12-12 22:42:14,Tokachi_M8.3,8.3,Subduction,41.815,143.91,400,2002-06-01,2004-12-31,770,1.7687466774325156,0.003521810048659584,2.358328903243354,0.8087816864652586,0.03787467261052377,4.3500000000000005
2025-12-12 22:42:14,Nankai_Trough,,Subduction,33.0,135.0,96,2010-01-01,2025-12-12,27,,,,,,
2025-12-12 22:42:14,Nankai_Trough,,Subduction,33.0,135.0,128,2010-01-01,2025-12-12,60,,,,,,
2025-12-12 22:42:14,Nankai_Trough,,Subduction,33.0,135.0,192,2010-01-01,2025-12-12,89,,,,,,
2025-12-12 22:42:14,Nankai_Trough,,Subduction,33.0,135.0,312,2010-01-01,2025-12-12,246,1.488626251942892,0.004975267164988443,1.9848350025905228,1.0753958599509155,0.09431845628995293,4.450000000000002
2025-12-12 22:42:14,Nankai_Trough,,Subduction,33.0,135.0,400,2010-01-01,2025-12-12,610,1.5050889417103497,0.00944277920127933,2.0067852556137997,1.0412202658556113,0.056057414719285284,4.450000000000002
2025-12-12 22:42:14,Noto_M7.6,7.6,Strike-slip intraplate,37.49,137.27,96,2023-01-01,2025-12-12,172,1.5225992597884683,0.006085946059717771,2.0301323463846246,0.9270516825242515,0.08799185169437006,4.3500000000000005
2025-12-12 22:42:14,Noto_M7.6,7.6,Strike-slip intraplate,37.49,137.27,128,2023-01-01,2025-12-12,184,1.5306201729499451,0.00652823526105691,2.0408268972665935,0.9123308540701426,0.07550503871820777,4.250000000000001
2025-12-12 22:42:14,Noto_M7.6,7.6,Strike-slip intraplate,37.49,137.27,192,2023-01-01,2025-12-12,197,1.5101259629975523,0.005228462332360931,2.0135012839967366,0.9340970700153757,0.07527168696472132,4.250000000000001
2025-12-12 22:42:14,Noto_M7.6,7.6,Strike-slip intraplate,37.49,137.27,312,2023-01-01,2025-12-12,293,1.6701492262982143,0.005229514956189597,2.2268656350642857,1.1061625009402678,0.08338013574500047,4.3500000000000005
2025-12-12 22:42:14,Noto_M7.6,7.6,Strike-slip intraplate,37.49,137.27,400,2023-01-01,2025-12-12,542,1.5595725872264965,0.003151973281513975,2.0794301163019955,1.240841376866435,0.06872384773182334,4.3500000000000005
