r_km,C_r
2.0,0.00017644839021549997
2.4194551849188386,0.00018106307808709516
2.926881695915326,0.00018783653322982646
3.540729547413189,0.00019779088674408982
4.283318230942088,0.00021244421957926113
5.181648251255109,0.00023406143796429965
6.2683828639624055,0.00026603858930466796
7.5830357106351185,0.0003134932155849668
9.173407533760429,0.00038417096007959436
11.097324210465096,0.000489834328543332
13.424739299867571,0.000648383266497432
16.240277552624143,0.0008870855430316188
19.64631186460876,0.0012474927622109536
23.76668555268008,0.0017929213261635554
28.75121529438374,0.002619840413152384
34.78113845835728,0.003875212794695828
42.07570289022627,0.0057829048827325105
50.90013875843124,0.008683912200846175
61.575302316087416,0.013097628689781949
74.48934222580137,0.019815169154290824
90.11181263470442,0.030041513206412754
109.01074615073524,0.04561201106713989
131.8733074931338,0.06932215268466459
159.5307787833296,0.10542985249283757
192.98878494073347,0.16042049935704902
233.4638581780221,0.2441722343454269
282.4276710799859,0.37173083106708493
341.6605465795124,0.566013085452632
413.3161904520027,0.8619244545229214
500.0,1.3126307930518963
