region,n_events,d2,d2_sem,d3_mcmc,d3_sem,eta,sigma_h,setting
Cook Strait,4892,2.24,0.004,2.528892001091647,0.17294456260817404,0.885763409047543,0.9,Transform/thrust
Bay of Plenty,6247,1.91,0.001,2.1980360531425096,0.19747251179402414,0.8689575392857148,1.1,Back-arc rifting
