N_events,D2
771,1.6976002013666651
739,1.7198162210920689
301,1.271590270636204
221,1.2968560432971237
202,1.3440975786269456
200,1.4335208721930288
201,1.4923682620386138
209,1.524713764275386
217,1.5729302836254615
208,1.5662907156485344
210,1.386215212944494
204,1.2344262982469263
216,1.079166378538857
214,1.2397688678554937
209,1.0674120638287976
203,1.4645724036272247
225,1.5324322530919765
248,1.308568352397005
244,1.2333342228581343
249,1.2912854126605746
247,1.293862671010471
245,1.2899453968433738
236,1.241271870015804
241,1.2551752187969938
247,1.2507697779305418
226,1.1857382496459743
201,1.3633834950207686
