D3,density
2.7787916898972167,0.04498022698775364
2.781014888993727,0.0
2.783238088090237,0.0
2.785461287186748,0.0
2.7876844862832577,0.0
2.7899076853797684,0.0
2.792130884476279,0.04498022698775364
2.794354083572789,0.04498022698775364
2.7965772826692996,0.044980226987744655
2.7988004817658103,0.04498022698775364
2.80102368086232,0.0
2.803246879958831,0.0
2.8054700790553415,0.08996045397550728
2.8076932781518513,0.08996045397550728
2.809916477248362,0.044980226987744655
2.8121396763448727,0.08996045397550728
2.8143628754413825,0.04498022698775364
2.8165860745378932,0.2249011349387682
2.8188092736344035,0.17992090795097862
2.8210324727309137,0.17992090795101456
2.8232556718274244,0.08996045397550728
2.8254788709239347,0.13494068096323397
2.827702070020445,0.2249011349387682
2.8299252691169556,0.04498022698775364
2.8321484682134654,0.0
2.834371667309976,0.26988136192646794
2.836594866406487,0.08996045397550728
2.8388180655029966,0.3598418159020291
2.8410412645995073,0.13494068096323397
2.843264463696018,0.40482204288978274
2.845487662792528,0.3598418159020291
2.8477108618890385,0.31486158891421256
2.8499340609855492,0.4498022698775364
2.852157260082059,0.5847429508407973
2.8543804591785698,0.35984181590195724
2.8566036582750804,0.8096440857795655
2.8588268573715903,0.629723177828551
2.861050056468101,0.629723177828551
2.863273255564611,0.6297231778284251
2.8654964546611215,1.0795254477060874
2.867719653757632,0.8996045397550728
2.8699428528541424,1.6642683985465523
2.8721660519506527,1.2144661286693483
2.8743892510471634,1.349406809632609
2.876612450143673,1.2144661286693483
2.878835649240184,1.3044265826445949
2.8810588483366946,1.2144661286693483
2.8832820474332044,1.5743079445713772
2.885505246529715,1.5293277175833182
2.8877284456262258,1.259446355657102
2.8899516447227356,2.0241102144489136
2.8921748438192463,1.7992090795097861
2.894398042915757,2.1590508954121748
2.896621242012267,1.9791299874611603
2.8988444411087775,2.204031122399488
2.901067640205288,2.0690904414366673
2.903290839301798,2.7887740732407256
2.9055140383983087,3.193596116130508
2.907737237494819,2.743793846252424
2.909960436591329,2.7887740732407256
2.91218363568784,4.048220428897827
2.91440683478435,3.2835565701053593
2.9166300338808604,3.238576343118262
2.918853232977371,4.138180882873335
2.921076432073881,3.9582599749223206
2.9232996311703916,3.9582599749215297
2.9255228302669023,4.273121563836595
2.927746029363412,4.81288428768964
2.929969228459923,4.677943606725444
2.9321924275564335,5.127745876603915
2.9344156266529433,5.622528373469205
2.936638825749454,4.767904060700933
2.9388620248459647,4.722923833714132
2.9410852239424745,5.352647011542683
2.943308423038985,6.47715268623523
2.945531622135496,5.80244928142022
2.9477548212320057,6.0273504163589875
2.9499780203285164,5.892409735395726
2.9522012194250267,6.2072713243087625
2.954424418521537,6.522132913224278
2.9566476176180476,6.7920142751508
2.958870816714558,7.06189563707591
2.961094015811068,6.7920142751508
2.963317214907579,6.657073594187539
2.9655404140040886,7.1968363180405825
2.9677636131005993,6.8819747291249325
2.96998681219711,7.1968363180405825
2.97221001129362,7.061895637077321
2.9744332103901305,6.747034048161698
2.9766564094866412,7.331776999003843
2.978879608583151,7.241816545028335
2.9811028076796617,6.971935183100421
2.9833260067761724,7.511697906954857
2.9855492058726822,7.331776999003843
2.987772404969193,7.016915410088166
2.9899956040657036,6.387192232261016
2.9922188031622134,6.7020538211752925
2.994442002258724,6.207271324310002
2.9966652013552344,9.041025624536674
2.9988884004517447,171.01482300743933
